date,species,abundance,habitat,water_temp,salinity,human_pressure,protected_area
2010-01-01,Starfish,389,Reef,20.973409307597706,30.627970600071208,0.7987048900347329,0
2010-01-02,Crab,405,Open Ocean,30.472328687413103,33.2893962235305,0.568029971878321,1
2010-01-03,Starfish,262,Open Ocean,19.030981541517203,35.86649432721671,0.45235695072354776,1
2010-01-04,Seagrass,170,Reef,29.137341675727285,31.017417128530653,0.16596904713650829,1
2010-01-05,Starfish,475,Mangrove,31.682298220993566,36.107098790266654,0.0012965293784522602,1
2010-01-06,Turtle,390,Coastal,18.287667583797457,34.64021729714644,0.28543190117939243,0
2010-01-07,Turtle,188,Open Ocean,20.81411855013777,31.802549846704032,0.7639288239478794,0
2010-01-08,Dolphin,249,Mangrove,18.949414915710967,33.04211899333127,0.8856933460614783,0
2010-01-09,Seagrass,334,Mangrove,30.84044480081837,31.44162046359055,0.2428207388270155,0
2010-01-10,Coral,223,Coastal,19.320377944722733,36.09471290108027,0.06968867011646718,1
2010-01-11,Shark,302,Coastal,26.74393590538908,37.846471355518915,0.8008825544284778,1
2010-01-12,Shark,356,Reef,21.714754545940888,33.375231413345574,0.1106100833218433,1
2010-01-13,Turtle,188,Open Ocean,26.2600785883956,33.30091318651957,0.2410024658560055,0
2010-01-14,Seagrass,69,Coastal,30.394531413209684,36.52084596863421,0.3965048582212416,0
2010-01-15,Turtle,172,Open Ocean,19.431148862382347,32.492642926423244,0.16671347662860547,0
2010-01-16,Dolphin,294,Open Ocean,21.24964604776998,35.474963387889986,0.8005022206127148,1
2010-01-17,Starfish,386,Reef,29.289452864343183,36.9373025510196,0.3648182297893937,1
2010-01-18,Seagrass,294,Coastal,25.051860556763664,37.74643269777736,0.7486451123293434,1
2010-01-19,Turtle,375,Open Ocean,18.757436376614518,33.76694414343942,0.7201087368135776,1
2010-01-20,Starfish,297,Mangrove,23.08827481841674,35.43900715520729,0.720771260985485,0
2010-01-21,Crab,40,Coastal,20.364127121090917,36.057899141149065,0.9791517618806114,1
2010-01-22,Turtle,341,Mangrove,20.723154864392892,30.75341084430878,0.24213996365023338,1
2010-01-23,Turtle,217,Mangrove,23.35285125508032,37.94502959331816,0.7605279987729958,0
2010-01-24,Shark,58,Reef,27.283085350332087,31.285337134378754,0.9416783667803278,0
2010-01-25,Crab,432,Coastal,22.223823172864233,33.21232027929149,0.0056686232604070685,1
2010-01-26,Crab,493,Open Ocean,29.7081425429445,35.19926626353507,0.24443175370653103,0
2010-01-27,Starfish,408,Reef,19.463042498380645,36.56256625739869,0.9705767941450213,0
2010-01-28,Seagrass,171,Reef,31.59354229406428,30.88603951588094,0.645844203247361,0
2010-01-29,Starfish,131,Reef,30.524406035741535,36.50722626596065,0.5403461345855006,1
2010-01-30,Coral,109,Open Ocean,26.253673862442902,35.42351562672814,0.4640825335213068,0
2010-01-31,Seagrass,217,Reef,20.876815216168232,36.77493187333445,0.522786550346708,1
2010-02-01,Dolphin,72,Open Ocean,29.325514994757963,37.17059501038011,0.22213327771069502,1
2010-02-02,Dolphin,477,Open Ocean,18.955271332293716,30.69875904442251,0.7919944467438034,1
2010-02-03,Dolphin,258,Reef,18.920066120192367,30.07344556198465,0.2702720900955985,1
2010-02-04,Shark,273,Mangrove,23.279622989911335,34.41759083251504,0.8236567282413201,1
2010-02-05,Seagrass,220,Reef,19.713930105384467,30.061505480318004,0.7326527025177894,0
2010-02-06,Crab,213,Mangrove,28.680439588797157,37.30668527218669,0.3288899528763184,0
2010-02-07,Starfish,163,Open Ocean,21.965518526869783,36.318605019624016,0.11620377056255715,0
2010-02-08,Turtle,254,Coastal,30.492730439649325,34.67000126869586,0.2742463585182926,1
2010-02-09,Starfish,275,Mangrove,21.763561457820305,30.402471865960383,0.3840827518981549,1
2010-02-10,Crab,227,Open Ocean,31.19678613242128,31.50062710158859,0.9495870704178032,0
2010-02-11,Shark,396,Mangrove,27.365735440661986,36.868985801705065,0.008867295620797466,0
2010-02-12,Crab,196,Open Ocean,20.49436106326996,31.735364100842173,0.0608457396391624,1
2010-02-13,Starfish,473,Reef,24.563229997705953,36.152852988397306,0.8324431478110865,1
2010-02-14,Starfish,55,Mangrove,23.469883073727953,32.26122008407652,0.3860221028288914,0
2010-02-15,Starfish,191,Mangrove,19.565219908558014,37.04359624056528,0.026122949579656773,1
2010-02-16,Coral,283,Coastal,29.553777998322655,30.73349114910476,0.517401228442753,1
2010-02-17,Turtle,202,Mangrove,30.48892002513591,31.802311868292158,0.1951367344346866,0
2010-02-18,Coral,148,Mangrove,21.38869030069127,35.8968844695027,0.1668238184841323,0
2010-02-19,Starfish,230,Reef,24.363866939475127,37.85315169793429,0.6485436227760716,0
2010-02-20,Starfish,159,Mangrove,19.716921310603468,31.11067160580661,0.13517613660728345,0
2010-02-21,Turtle,451,Mangrove,29.583982233640878,35.57123194613341,0.7871182595461987,1
2010-02-22,Seagrass,93,Reef,19.48469329843431,32.85675133418765,0.8786280360105536,0
2010-02-23,Crab,445,Open Ocean,25.670333967021108,37.34676637533284,0.9578518989657832,1
2010-02-24,Shark,308,Coastal,27.55843920854413,36.126398384344284,0.9544434218618278,0
2010-02-25,Starfish,296,Open Ocean,28.77174843076725,37.80178517587475,0.14955932577579256,0
2010-02-26,Shark,95,Open Ocean,31.691195122826336,35.24147047150908,0.4212569352627402,0
2010-02-27,Coral,7,Open Ocean,26.48417067548973,31.924328457069656,0.8833779750509476,0
2010-02-28,Starfish,19,Open Ocean,30.855503321115044,35.903201391714504,0.3331185454141832,0
2010-03-01,Dolphin,100,Reef,20.892933491428924,34.18150677080265,0.4563166936802302,1
2010-03-02,Turtle,61,Open Ocean,21.752160832172265,36.56693848193981,0.42226138913498357,1
2010-03-03,Coral,315,Reef,28.472166154142023,35.31297198752374,0.6940137714902338,1
2010-03-04,Dolphin,163,Reef,20.39887201508414,34.157694116734184,0.12802410642209727,0
2010-03-05,Dolphin,423,Open Ocean,21.184703272984127,33.52548474067168,0.24510287001357345,0
2010-03-06,Turtle,16,Open Ocean,27.46656614564737,31.289487786222786,0.5133828586882926,0
2010-03-07,Crab,11,Coastal,21.21507081235349,33.22823380715574,0.34857553891238013,1
2010-03-08,Starfish,420,Open Ocean,24.473811064430166,33.214990099204655,0.22246400481518813,0
2010-03-09,Starfish,283,Coastal,28.900059046058132,33.62299043624752,0.376916842677247,0
2010-03-10,Dolphin,276,Reef,22.345839126030437,34.83545191926258,0.43595732745962734,1
2010-03-11,Seagrass,27,Open Ocean,27.51249174272833,36.56579807230628,0.28096914220224345,1
2010-03-12,Turtle,80,Mangrove,29.229080986385043,32.835176561016134,0.9511025867527347,1
2010-03-13,Turtle,350,Open Ocean,20.202294121968038,30.572072136024076,0.6108116642374681,1
2010-03-14,Seagrass,215,Coastal,20.19986866243938,35.5842457732226,0.7220545226662727,0
2010-03-15,Dolphin,451,Coastal,26.986276492963835,34.90535393397628,0.9593078828509839,1
2010-03-16,Turtle,414,Mangrove,22.27214446946012,30.488930881244084,0.6251992850129249,1
2010-03-17,Seagrass,88,Mangrove,21.518985941325006,30.40927855744611,0.9029938712647684,1
2010-03-18,Turtle,340,Mangrove,28.51199393118884,32.14694733713218,0.09809443076265145,1
2010-03-19,Seagrass,200,Coastal,22.02681460222429,31.809410898948787,0.8366632875012102,1
2010-03-20,Dolphin,4,Reef,24.502475708270286,37.63601579664213,0.5917645812716604,0
2010-03-21,Dolphin,244,Reef,31.171100081822956,31.385409641081644,0.6933166036332005,1
2010-03-22,Dolphin,157,Mangrove,26.239092417026832,31.13824560826213,0.7428489099158404,1
2010-03-23,Shark,3,Open Ocean,23.474259975917263,30.8987617153989,0.42842226394933847,0
2010-03-24,Shark,144,Reef,19.491451110351367,34.05705412743959,0.3294928782439033,1
2010-03-25,Starfish,69,Reef,31.60591829397262,32.62779946204998,0.19627765291217492,1
2010-03-26,Turtle,461,Coastal,30.283604785046883,36.26531626224712,0.6336040542706348,0
2010-03-27,Starfish,50,Reef,27.362382979820907,32.8118400819083,0.43135802053976224,1
2010-03-28,Coral,266,Coastal,30.44381324181656,37.94026659511775,0.04195592775330259,1
2010-03-29,Crab,12,Reef,29.03556140008016,36.34208412497544,0.9535162881425777,1
2010-03-30,Dolphin,414,Reef,24.90043100258262,35.87466810484615,0.7912215566519916,0
2010-03-31,Seagrass,93,Open Ocean,29.01020161736812,32.45900175933439,0.39407534945141054,0
2010-04-01,Turtle,257,Mangrove,21.129635430346102,32.158491794265146,0.4489831610780457,0
2010-04-02,Turtle,188,Open Ocean,18.567036958911515,30.085480941705367,0.2996974912723731,1
2010-04-03,Turtle,64,Reef,20.607129878340565,37.804643858545376,0.04381482437099926,1
2010-04-04,Crab,36,Coastal,30.658573859847735,30.410291332669487,0.8612401694684175,1
2010-04-05,Dolphin,170,Coastal,19.547026081657716,37.033463158547434,0.7597399315536258,1
2010-04-06,Seagrass,365,Open Ocean,28.69095644016246,36.56644193931927,0.561745850577766,0
2010-04-07,Starfish,231,Coastal,27.412316915805576,30.74656725211122,0.49119658814629386,1
2010-04-08,Seagrass,242,Reef,28.522608766261122,30.676565915940518,0.9507832762240408,1
2010-04-09,Starfish,173,Coastal,21.5425298382881,32.30409301957195,0.8815180934104727,0
2010-04-10,Dolphin,336,Open Ocean,22.09596034061498,37.20059290261919,0.3696805462300168,1
2010-04-11,Starfish,449,Open Ocean,20.685698244952913,34.023098816482815,0.4525475774618538,0
2010-04-12,Dolphin,378,Mangrove,28.51646384976931,31.104287422380803,0.5088759085878528,1
2010-04-13,Crab,484,Reef,21.024455708356008,35.181083873238784,0.2581985339811893,0
2010-04-14,Seagrass,97,Coastal,24.262443558544938,32.343839420998904,0.2029128853942428,0
2010-04-15,Crab,147,Reef,18.585063434667866,32.69017989327686,0.253195397468861,1
2010-04-16,Crab,182,Reef,30.045698452726835,32.954449335421785,0.5675552190422567,0
2010-04-17,Coral,474,Reef,21.29761830368205,36.270836730551174,0.7082879239959896,1
2010-04-18,Shark,219,Reef,20.2369547049024,30.430543975286902,0.11952573652732557,0
2010-04-19,Shark,348,Mangrove,19.488290590388555,30.502304538219022,0.19644717999511552,0
2010-04-20,Shark,290,Coastal,26.695454331886815,32.169145758436265,0.8434570728365962,1
2010-04-21,Shark,84,Open Ocean,18.674325055878633,33.27233235449902,0.7877922707201827,0
