date,sst,salinity,ph,chlorophyll,oxygen,latitude,longitude
01-01-2010,28.34983521,31.90147235,7.913542,3.007779515,5.120138623,9.709286505,49.67574527
02-01-2010,30.26061921,32.76138237,7.91082645,3.114822313,8.619184049,7.038905235,92.57792415
03-01-2010,20.49639799,35.19757846,8.328653591,1.852160977,8.713364322,0.600829012,32.80978964
04-01-2010,24.37433522,32.98010557,8.243376753,3.042466791,4.4308611,-17.15643042,35.88441854
05-01-2010,26.92010786,37.06155482,7.856346763,1.218885654,6.736094614,-3.629043715,64.91966468
06-01-2010,27.63198095,37.99352101,7.812571697,3.429058177,6.933435101,18.9859578,113.0867134
07-01-2010,29.71021285,32.13613262,8.051905015,1.708684318,5.934298596,-14.99475313,83.46789059
08-01-2010,28.31670957,33.21349712,8.251871287,3.082295666,7.477921114,17.04382294,45.36659811
09-01-2010,22.13128399,37.61699291,8.238296355,2.422365164,6.350277844,-29.01661995,79.18047194
10-01-2010,20.98133607,36.94880065,8.295855344,0.413693305,7.906136979,6.015188001,111.2471335
11-01-2010,31.16215514,37.44387812,8.3988012,0.967184538,6.628500137,5.414554726,116.6758883
12-01-2010,24.48585843,30.9550154,8.179277589,0.627023886,6.324565992,9.392116604,84.92510891
13-01-2010,25.88081202,35.30311118,8.263519062,3.430219097,7.945145346,24.26376291,98.60775604
14-01-2010,23.29506328,33.7154781,8.099224908,3.273942746,5.310948572,12.59125219,97.44242359
15-01-2010,24.14905438,35.92566217,8.100970759,2.310377506,6.053943801,13.12945273,55.19541976
16-01-2010,26.82209906,37.10114066,8.325900795,2.920567279,5.114908373,-0.440171613,73.45179067
17-01-2010,25.71409934,32.92267776,8.311675514,3.418476521,8.24009593,-14.97531322,40.15950042
18-01-2010,31.8380212,31.00572466,8.091119497,1.793703238,5.401319199,28.06411796,54.65054496
19-01-2010,25.27361034,30.68572907,8.082216957,0.10851197,5.819267354,-5.548220427,59.90327559
20-01-2010,26.67370496,33.85032551,7.920439178,2.375653719,4.864417582,15.97258153,111.2535048
21-01-2010,29.71157246,31.06357429,7.911417824,1.327100016,6.103081203,21.75968251,63.32066948
22-01-2010,31.35219486,30.73404685,8.281742376,1.570582468,8.687643041,15.34318951,76.13444208
23-01-2010,30.15961636,30.0137739,7.972406546,0.388994231,7.955673716,-25.19792912,58.23585104
24-01-2010,27.59054073,37.24435807,7.936956939,1.108661092,6.205989003,16.2559388,56.96938096
25-01-2010,21.20080079,31.85114542,8.070316576,0.132862912,4.654173988,-21.82877256,113.6759805
26-01-2010,31.10115506,30.02646497,8.063907308,0.604968897,4.23114035,-7.825241047,46.3986631
27-01-2010,31.55743121,32.46246046,7.956859857,0.186454776,8.184206479,-0.900065399,119.5960159
28-01-2010,26.83801614,35.84005508,8.091979711,1.660495766,8.59511268,3.068511817,46.12966812
29-01-2010,22.26651123,32.10653257,8.286389267,3.128982934,5.920539622,6.139252414,53.72322411
30-01-2010,20.79589462,37.02614896,8.345672672,3.246993435,8.234324819,-15.98074864,65.88132219
31-01-2010,20.13297579,32.94357265,7.920019585,2.605178427,6.983366142,11.50778146,117.7195605
01-02-2010,28.37045998,35.48353479,8.106702018,1.768237383,4.082418048,-3.631227986,91.5221937
