date,species,catch_kg,water_temp,depth_m,vessel_id,fuel_used_l,location_zone
01-01-2010,Sardine,434.1758179,26.95276679,164.1972826,1000,39.61877357,Zone-B
02-01-2010,Salmon,275.9058897,23.69804428,165.3584932,1012,194.491998,Zone-C
03-01-2010,Sardine,82.02358681,22.89120602,118.5228679,1063,40.87216749,Zone-A
04-01-2010,Salmon,239.5116497,25.53240972,124.4911865,1055,181.9012048,Zone-B
05-01-2010,Sardine,395.4958501,29.05796407,187.9458953,1012,188.0698215,Zone-C
06-01-2010,Mackerel,316.4480446,23.65264899,199.9444467,1034,193.8101264,Zone-C
07-01-2010,Tuna,146.8292574,21.66085298,153.7710762,1056,108.5642296,Zone-A
08-01-2010,Anchovy,396.3790595,25.83844529,123.6697247,1057,147.6002266,Zone-A
09-01-2010,Mackerel,449.4448682,29.7502156,20.856852,1002,59.76182875,Zone-C
10-01-2010,Mackerel,347.3091639,25.79558996,87.70790644,1046,49.08196664,Zone-B
11-01-2010,Tuna,420.8844032,21.98088069,175.0693767,1020,33.87803027,Zone-B
12-01-2010,Mackerel,295.6645848,28.87850193,56.72847586,1013,183.5835914,Zone-B
13-01-2010,Sardine,474.1734196,29.66160517,114.2514797,1020,64.81686783,Zone-B
14-01-2010,Salmon,107.5099346,27.79301501,179.2201192,1026,153.283436,Zone-C
15-01-2010,Anchovy,417.057611,29.32752018,120.1708097,1075,122.2565706,Zone-C
16-01-2010,Tuna,142.2608375,19.79392117,54.22453963,1084,49.22067347,Zone-A
17-01-2010,Sardine,154.5523107,23.46820826,148.6692402,1007,124.0910019,Zone-B
18-01-2010,Salmon,371.4032377,25.72267951,27.14860002,1072,185.2071546,Zone-A
19-01-2010,Tuna,291.3229963,23.23651058,177.616575,1037,106.0277382,Zone-B
20-01-2010,Salmon,81.76085019,22.90528626,97.17062908,1026,86.70966259,Zone-A
21-01-2010,Tuna,264.0300592,24.16086324,77.04001443,1045,39.04703194,Zone-A
22-01-2010,Mackerel,87.76696278,27.66497794,6.316750283,1095,88.00178472,Zone-C
23-01-2010,Anchovy,78.83945048,25.17996164,87.70032098,1045,187.3320285,Zone-C
24-01-2010,Salmon,159.8787708,28.30627122,165.0703729,1065,62.37568422,Zone-B
25-01-2010,Anchovy,272.3692103,19.04290801,33.52648027,1024,191.8816728,Zone-A
26-01-2010,Mackerel,258.0498318,27.66380405,83.16379358,1063,83.21138129,Zone-A
27-01-2010,Sardine,366.1168442,25.42070193,17.87039234,1049,87.5908921,Zone-C
28-01-2010,Anchovy,490.9344859,18.83345415,140.4395047,1075,122.3684542,Zone-C
29-01-2010,Anchovy,103.064441,19.40922924,183.8769175,1082,165.2462512,Zone-C
30-01-2010,Mackerel,97.74412363,29.1724545,189.4490971,1084,188.8402258,Zone-B
31-01-2010,Mackerel,159.5637073,27.82846683,192.05058,1051,103.4852878,Zone-A
01-02-2010,Sardine,412.7056606,25.6105418,67.29549063,1090,34.5985564,Zone-B
02-02-2010,Salmon,204.9559037,19.06533913,41.24722546,1049,106.6083218,Zone-A
03-02-2010,Sardine,420.019095,25.81231424,86.15162324,1092,126.3448646,Zone-B
04-02-2010,Sardine,460.1712928,18.59764942,50.51730963,1066,66.54110829,Zone-C
05-02-2010,Salmon,201.0919554,26.92251575,127.4072497,1079,151.2513078,Zone-B
06-02-2010,Salmon,269.7381674,27.10880976,196.5384669,1069,127.7529922,Zone-B
07-02-2010,Tuna,440.8912767,21.90184897,75.37419541,1035,52.06845105,Zone-B
08-02-2010,Sardine,223.1569121,22.23031544,8.792509624,1064,89.76456642,Zone-C
09-02-2010,Tuna,423.4297247,23.84286843,50.09664743,1018,118.4851353,Zone-A
10-02-2010,Sardine,106.8521537,26.70785313,125.031253,1067,40.96240074,Zone-A
11-02-2010,Anchovy,90.15695394,29.7911286,77.57439373,1077,53.96379766,Zone-B
12-02-2010,Tuna,137.9083627,24.42100306,111.2322156,1062,28.48968731,Zone-B
13-02-2010,Anchovy,275.4036984,27.50919714,56.47079007,1048,163.1876332,Zone-A
14-02-2010,Anchovy,330.1388565,18.89473703,194.0509879,1071,157.4270107,Zone-B
15-02-2010,Tuna,171.3656551,27.66669141,36.95797762,1017,159.5234252,Zone-C
16-02-2010,Anchovy,230.9198625,27.69825292,73.07829589,1013,145.9265339,Zone-C
17-02-2010,Sardine,414.5336988,22.67053704,138.8019846,1030,149.7010998,Zone-B
18-02-2010,Mackerel,461.3191409,24.77374331,18.91474563,1071,142.5413123,Zone-A
19-02-2010,Mackerel,324.6596461,24.23087369,51.86435548,1061,199.6582649,Zone-B
20-02-2010,Anchovy,268.7535171,26.25883171,159.2516281,1005,144.9657172,Zone-C
21-02-2010,Salmon,223.445018,22.73259876,135.7991794,1049,151.318866,Zone-A
22-02-2010,Salmon,234.7325983,22.14739197,153.9035973,1056,39.47842165,Zone-C
23-02-2010,Tuna,354.4829839,27.62720785,8.860611377,1004,122.6132844,Zone-A
24-02-2010,Salmon,330.4479202,29.50824288,97.68000737,1036,26.88899187,Zone-B
25-02-2010,Mackerel,433.1669317,26.82432307,46.85177923,1012,126.2725589,Zone-B
26-02-2010,Mackerel,146.749242,28.16797084,91.38153202,1097,122.2932469,Zone-C
27-02-2010,Mackerel,472.3119816,28.67137031,65.57934679,1095,89.30613668,Zone-C
28-02-2010,Mackerel,178.025563,21.80859421,153.1902722,1083,44.28263051,Zone-A
01-03-2010,Salmon,303.1239105,29.72467542,162.4633844,1019,21.28386053,Zone-C
02-03-2010,Salmon,382.4404356,24.23797606,34.38820422,1037,32.05243306,Zone-C
03-03-2010,Sardine,268.2624095,26.30585188,143.4770545,1097,51.16118965,Zone-C
04-03-2010,Tuna,403.2084231,19.96777813,11.30058599,1045,93.20031718,Zone-B
05-03-2010,Sardine,272.1968541,25.10811139,18.18150974,1078,100.9151883,Zone-C
06-03-2010,Tuna,50.05411443,22.86484611,160.1429727,1086,25.47397279,Zone-B
07-03-2010,Mackerel,251.4036229,29.17341629,168.0361708,1063,152.5686749,Zone-A
08-03-2010,Anchovy,255.7377731,20.51795156,56.58403618,1097,69.27958162,Zone-C
09-03-2010,Sardine,396.8577525,23.67707964,92.67301857,1005,40.06728477,Zone-C
10-03-2010,Anchovy,422.994822,28.00048816,13.78029204,1036,130.0500273,Zone-C
11-03-2010,Sardine,242.2729952,27.95249281,187.4213056,1041,123.1566215,Zone-C
12-03-2010,Tuna,407.0886835,23.61992713,97.90197914,1050,137.7971823,Zone-C
13-03-2010,Tuna,302.5317478,24.03794738,76.74884667,1062,68.06757351,Zone-A
14-03-2010,Salmon,393.6321469,25.1641287,38.36605679,1040,89.4158963,Zone-B
15-03-2010,Anchovy,383.9061228,27.31112634,194.8419699,1055,148.0140086,Zone-C
16-03-2010,Salmon,457.4339288,19.82762857,10.3842189,1006,37.64824949,Zone-A
17-03-2010,Anchovy,403.7753242,19.05792529,76.04423233,1070,165.2948791,Zone-B
18-03-2010,Sardine,385.014426,23.90243399,36.17744806,1000,160.5007272,Zone-C
19-03-2010,Mackerel,106.7378964,29.5956534,138.162398,1054,118.1907195,Zone-B
20-03-2010,Anchovy,128.0574983,23.23313397,64.86920663,1035,101.6028641,Zone-C
21-03-2010,Tuna,248.9356948,21.18714135,28.29101904,1015,86.26421833,Zone-B
22-03-2010,Mackerel,390.9476203,29.98016332,136.0312861,1038,198.5442106,Zone-C
23-03-2010,Sardine,189.5934507,22.40328878,8.307535347,1096,71.1139595,Zone-C
24-03-2010,Sardine,104.8481532,19.8015197,195.5477911,1050,58.21329364,Zone-C
25-03-2010,Mackerel,388.2423794,20.14507344,132.8643483,1049,174.9008502,Zone-C
26-03-2010,Tuna,394.6305707,25.85667743,45.04342864,1061,157.877089,Zone-A
27-03-2010,Tuna,300.4280751,22.71729347,146.4133935,1011,158.9593531,Zone-B
28-03-2010,Tuna,161.5220116,26.66850281,133.4970737,1055,93.18947455,Zone-B
29-03-2010,Mackerel,380.4603596,25.56253782,108.497594,1070,57.80033495,Zone-C
30-03-2010,Anchovy,265.0838256,24.52808231,152.0591694,1087,72.81399395,Zone-B
31-03-2010,Salmon,485.4952177,28.78010984,15.96717048,1028,117.0873968,Zone-C
01-04-2010,Sardine,156.1823531,22.05277161,126.1262758,1058,40.24412579,Zone-C
02-04-2010,Anchovy,238.4573605,25.96133218,158.6290196,1085,44.17816961,Zone-B
03-04-2010,Anchovy,419.123135,20.86090905,94.77353937,1091,46.01484019,Zone-C
04-04-2010,Anchovy,391.3297742,26.00983576,101.6836179,1087,37.72090035,Zone-A
05-04-2010,Salmon,483.0607323,19.64864413,181.8817691,1048,144.832331,Zone-B
06-04-2010,Sardine,346.4406756,22.46319774,134.4497258,1024,153.7328661,Zone-A
07-04-2010,Salmon,357.7034278,23.41609173,112.2995154,1027,82.05699245,Zone-B
08-04-2010,Sardine,416.5502892,26.073785,27.71364171,1051,47.34052237,Zone-A
09-04-2010,Salmon,289.4094631,22.23206121,15.89400267,1092,93.54380069,Zone-B
10-04-2010,Salmon,255.1221329,24.76867644,133.1696423,1072,25.31392431,Zone-C
11-04-2010,Salmon,426.646905,23.80949825,94.12123102,1025,51.68480885,Zone-C
12-04-2010,Sardine,446.1633913,18.09530232,120.7971767,1035,95.87969986,Zone-A
